% Model:              antena_microStript_AITOR.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 19 2023, 10:17
% Dimension:          3
% Nodes:              1000
% Expressions:        1
% Description:        Electric field, x component
% Length unit:        mm
% x                       y                        z                        emw.Ex (V/m) @ freq=1.575
-89.99999999999997        -89.99999999999997       30                       NaN
-69.99999999999999        -89.99999999999997       30                       NaN
-49.99999999999998        -89.99999999999997       30                       NaN
-30                       -89.99999999999997       30                       0.015260486083251309-0.06762191247237376i
-10                       -89.99999999999997       30                       0.16791402355626642+0.04061345983779819i
10                        -89.99999999999997       30                       0.031009148638167488+0.024849561497364715i
30                        -89.99999999999997       30                       -0.0256056846360701+0.08040938510504511i
49.99999999999998         -89.99999999999997       30                       NaN
69.99999999999999         -89.99999999999997       30                       NaN
89.99999999999997         -89.99999999999997       30                       NaN
-89.99999999999997        -69.99999999999999       30                       NaN
-69.99999999999999        -69.99999999999999       30                       NaN
-49.99999999999998        -69.99999999999999       30                       -0.010893836249955057-0.004498504298779599i
-30                       -69.99999999999999       30                       -0.8391525760782494-0.8566771435595657i
-10                       -69.99999999999999       30                       -0.34730496955058054+1.353916669332751i
10                        -69.99999999999999       30                       1.5606715918815488-0.6307475157867048i
30                        -69.99999999999999       30                       1.1941095162430226-0.3479717533048895i
49.99999999999998         -69.99999999999999       30                       -0.11771329886997578-0.06256343115767678i
69.99999999999999         -69.99999999999999       30                       NaN
89.99999999999997         -69.99999999999999       30                       NaN
-89.99999999999997        -49.99999999999998       30                       NaN
-69.99999999999999        -49.99999999999998       30                       0.012787704563918756+0.08307374196932335i
-49.99999999999998        -49.99999999999998       30                       -4.366248514431137+2.854143763152654i
-30                       -49.99999999999998       30                       -2.9873398330341225+3.2951859083354083i
-10                       -49.99999999999998       30                       -0.9409822374888636+1.0738830125855694i
10                        -49.99999999999998       30                       0.9764061711640108-1.1680824583953031i
30                        -49.99999999999998       30                       3.03387880248056-2.869226045364828i
49.99999999999998         -49.99999999999998       30                       4.3537730867009286-2.9423426219957785i
69.99999999999999         -49.99999999999998       30                       0.043960585608728-0.19280349900677948i
89.99999999999997         -49.99999999999998       30                       NaN
-89.99999999999997        -30                      30                       0.10319639118997682-0.17511778092009012i
-69.99999999999999        -30                      30                       -0.9468087713309279+0.8090861211088178i
-49.99999999999998        -30                      30                       -4.601896665224137+3.6425356800386703i
-30                       -30                      30                       -4.231796756834781+5.580385870366711i
-10                       -30                      30                       -1.0633720518784733+1.0526463751290214i
10                        -30                      30                       1.0718464696124774-1.2221375028845063i
30                        -30                      30                       4.107477654557558-5.229459297184481i
49.99999999999998         -30                      30                       4.7786040551461415-3.9517908009440186i
69.99999999999999         -30                      30                       1.0024996039673533-0.09848443441141291i
89.99999999999997         -30                      30                       -0.06460249753808621+0.04914783284878872i
-89.99999999999997        -10                      30                       0.03718902791969178-0.02185576429075986i
-69.99999999999999        -10                      30                       -1.50035736515856+1.3965098050809261i
-49.99999999999998        -10                      30                       -2.3353303695694096+2.812534690082507i
-30                       -10                      30                       -2.995698607603182+5.08577622668839i
-10                       -10                      30                       -0.6647720872564402+0.9416753974993242i
10                        -10                      30                       0.7728949732067396-1.1773253358807967i
30                        -10                      30                       2.5839711347218706-4.314472240359171i
49.99999999999998         -10                      30                       2.2875741565280516-2.9012852281905213i
69.99999999999999         -10                      30                       1.0030964508802795-1.8192297231089327i
89.99999999999997         -10                      30                       -0.12961797456810653+0.04159126388313991i
-89.99999999999997        10                       30                       -0.07158424544945005-0.06789878548368317i
-69.99999999999999        10                       30                       0.948714875877349-1.3267655601362347i
-49.99999999999998        10                       30                       1.7509634979039048-1.138787581745513i
-30                       10                       30                       2.26235202939988-2.5046517927052148i
-10                       10                       30                       0.828851645163137-1.1508891919725848i
10                        10                       30                       -1.0325611869343014+1.1553263352775822i
30                        10                       30                       -2.3718391145326767+2.451545785496536i
49.99999999999998         10                       30                       -1.9039358274255014+1.1198037598500625i
69.99999999999999         10                       30                       -1.4154896837454778+0.730715274715104i
89.99999999999997         10                       30                       0.024833139099451965+2.983200366084085E-4i
-89.99999999999997        30                       30                       -0.05115670282974817+0.0029756985971235725i
-69.99999999999999        30                       30                       1.2529715603453133-0.01165226121845958i
-49.99999999999998        30                       30                       4.557088165297002-2.734751603115024i
-30                       30                       30                       4.074004535724967-4.513544978481754i
-10                       30                       30                       1.526478808279862-2.104606281121764i
10                        30                       30                       -1.6331910939491845+1.868706766142819i
30                        30                       30                       -4.3352595710551824+4.494145308837959i
49.99999999999998         30                       30                       -4.566189985009462+2.791091445261614i
69.99999999999999         30                       30                       -1.1001422889583012-8.800729752140996E-4i
89.99999999999997         30                       30                       0.07081784191561627+0.030346235230202794i
-89.99999999999997        49.99999999999998        30                       NaN
-69.99999999999999        49.99999999999998        30                       0.0256290261852605-0.26817624185396294i
-49.99999999999998        49.99999999999998        30                       4.3783343378680915-2.0400235259048034i
-30                       49.99999999999998        30                       3.026317309334753-2.827467192405041i
