% Model:              antena_microStript_AITOR.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 18 2023, 18:08
% Dimension:          3
% Nodes:              100
% Expressions:        1
% Description:        Electric field, x component
% Length unit:        mm
% x                       y                        z                        emw.Ex (V/m) @ freq=1.575
-89.99999999999997        -89.99999999999997       0                        NaN
-69.99999999999999        -89.99999999999997       0                        NaN
-49.99999999999998        -89.99999999999997       0                        NaN
-30                       -89.99999999999997       0                        -8.812485391812824E-4+0.007154013702074413i
-10                       -89.99999999999997       0                        0.12173161807203198-0.19003450392621762i
10                        -89.99999999999997       0                        -0.05439202561355177+0.10148548166937797i
30                        -89.99999999999997       0                        -0.007053701264293718-0.007829744089557299i
49.99999999999998         -89.99999999999997       0                        NaN
69.99999999999999         -89.99999999999997       0                        NaN
89.99999999999997         -89.99999999999997       0                        NaN
-89.99999999999997        -69.99999999999999       0                        NaN
-69.99999999999999        -69.99999999999999       0                        -0.04242922794786438-0.0729846720548536i
-49.99999999999998        -69.99999999999999       0                        -0.3759736386317788+0.4401923486239432i
-30                       -69.99999999999999       0                        -2.8798642075786325+1.5666964588415022i
-10                       -69.99999999999999       0                        -0.7706558637437182+0.42227508859433893i
10                        -69.99999999999999       0                        0.7736279061216607-0.7861393068599409i
30                        -69.99999999999999       0                        2.694294647014021-1.6777634774310877i
49.99999999999998         -69.99999999999999       0                        0.34454438475203464-0.5114559912675155i
69.99999999999999         -69.99999999999999       0                        0.035716589087653544+0.05390161239345791i
89.99999999999997         -69.99999999999999       0                        NaN
-89.99999999999997        -49.99999999999998       0                        NaN
-69.99999999999999        -49.99999999999998       0                        -0.3633791888997383+0.3876106504151572i
-49.99999999999998        -49.99999999999998       0                        -24.003597937068275-4.26431250687842i
-30                       -49.99999999999998       0                        -0.7889572102865734+0.0024383393444642257i
-10                       -49.99999999999998       0                        0.11520101708439334+0.1684816251331579i
10                        -49.99999999999998       0                        -0.3666939490558496-0.1790654473978443i
30                        -49.99999999999998       0                        0.806570264331536+0.02546799150951049i
49.99999999999998         -49.99999999999998       0                        133.32929688956986+20.373650760336222i
69.99999999999999         -49.99999999999998       0                        0.26539337289280523-0.5253854003015132i
89.99999999999997         -49.99999999999998       0                        NaN
-89.99999999999997        -30                      0                        0.005987609693526415+0.0029854740462264932i
-69.99999999999999        -30                      0                        -6.755911154545998-0.12352314489287575i
-49.99999999999998        -30                      0                        -6.64250186512251-3.4727063235210283i
-30                       -30                      0                        -4.3346149084540215+8.355677582391376i
-10                       -30                      0                        2.646603637289454-5.0450108324937055i
10                        -30                      0                        0.8748442541003598-1.6704191463823008i
30                        -30                      0                        1.7225809449436351-3.3198879854635983i
49.99999999999998         -30                      0                        49.77034816724329+24.185462675981746i
69.99999999999999         -30                      0                        6.91502334109457+0.162119863457022i
89.99999999999997         -30                      0                        0.0020162295252114538-0.006516275538189368i
-89.99999999999997        -10                      0                        -0.06154788784900037+0.026216413404141735i
-69.99999999999999        -10                      0                        -2.6352028055894734-0.36986379246151424i
-49.99999999999998        -10                      0                        -1.8961271339950143-2.2593322746340494i
-30                       -10                      0                        -16.19438748523173+31.782283744864237i
-10                       -10                      0                        1.081581638518875-2.5789274816258967i
10                        -10                      0                        -6.9179731380297085+12.45686127942463i
30                        -10                      0                        14.641054488566574-28.775207449935067i
49.99999999999998         -10                      0                        1.779367960717296+2.1918279312018667i
69.99999999999999         -10                      0                        2.730435227345392+0.48112927697198177i
89.99999999999997         -10                      0                        0.0668231522084642-0.029907210039790938i
-89.99999999999997        10                       0                        0.04904818855764449-0.03646273690463894i
-69.99999999999999        10                       0                        2.5370304874744822-0.18299946358955999i
-49.99999999999998        10                       0                        3.125549636041951+1.6295201894483669i
-30                       10                       0                        9.556847615523942-15.541722912263939i
-10                       10                       0                        -0.0267727602701342+0.08111200407408603i
10                        10                       0                        -0.02802925748282803+0.08177949448827349i
30                        10                       0                        -8.819188015793454+14.32112446077731i
