% Model:              antena_microStript_AITOR.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 19 2023, 10:17
% Dimension:          3
% Nodes:              1000
% Expressions:        1
% Description:        Electric field, x component
% Length unit:        mm
% x                       y                        z                        emw.Ex (V/m) @ freq=1.575
-89.99999999999997        -89.99999999999997       49.99999999999998        NaN
-69.99999999999999        -89.99999999999997       49.99999999999998        NaN
-49.99999999999998        -89.99999999999997       49.99999999999998        NaN
-30                       -89.99999999999997       49.99999999999998        NaN
-10                       -89.99999999999997       49.99999999999998        NaN
10                        -89.99999999999997       49.99999999999998        NaN
30                        -89.99999999999997       49.99999999999998        NaN
49.99999999999998         -89.99999999999997       49.99999999999998        NaN
69.99999999999999         -89.99999999999997       49.99999999999998        NaN
89.99999999999997         -89.99999999999997       49.99999999999998        NaN
-89.99999999999997        -69.99999999999999       49.99999999999998        NaN
-69.99999999999999        -69.99999999999999       49.99999999999998        NaN
-49.99999999999998        -69.99999999999999       49.99999999999998        0.021924740668091365-0.14584236259649397j
-30                       -69.99999999999999       49.99999999999998        0.06609591447209674+0.20546035277595667j
-10                       -69.99999999999999       49.99999999999998        -0.13426333861539277-0.15387830228566535j
10                        -69.99999999999999       49.99999999999998        -0.0723310017134107-0.031131066357577536j
30                        -69.99999999999999       49.99999999999998        -0.08109802237905131-0.34277723668091514j
49.99999999999998         -69.99999999999999       49.99999999999998        0.021976869010298227+0.11230001654360121j
69.99999999999999         -69.99999999999999       49.99999999999998        NaN
89.99999999999997         -69.99999999999999       49.99999999999998        NaN
-89.99999999999997        -49.99999999999998       49.99999999999998        NaN
-69.99999999999999        -49.99999999999998       49.99999999999998        -0.0066408536187444675-0.11138391300548776j
-49.99999999999998        -49.99999999999998       49.99999999999998        0.024832478868726582+0.41483486795463054j
-30                       -49.99999999999998       49.99999999999998        -1.3308004421218147+2.8625147236876867j
-10                       -49.99999999999998       49.99999999999998        -0.6085241208285787+0.85792630993792j
10                        -49.99999999999998       49.99999999999998        0.020718879724235972-1.757948481343295j
30                        -49.99999999999998       49.99999999999998        1.7283705762576391-1.7366296999854283j
49.99999999999998         -49.99999999999998       49.99999999999998        0.2164764542265883-0.6629016543036326j
69.99999999999999         -49.99999999999998       49.99999999999998        0.0036005297535610867+0.15415424933255514j
89.99999999999997         -49.99999999999998       49.99999999999998        NaN
-89.99999999999997        -30                      49.99999999999998        NaN
-69.99999999999999        -30                      49.99999999999998        0.08872929477121123+0.33361374586432363j
-49.99999999999998        -30                      49.99999999999998        -2.2809784799924975+2.692568756796111j
-30                       -30                      49.99999999999998        -1.6008103400333533+2.692591156492478j
-10                       -30                      49.99999999999998        -0.6253022086552789+0.9066418346958436j
10                        -30                      49.99999999999998        0.570329206022228-1.0196641936682045j
30                        -30                      49.99999999999998        1.7729556210662687-2.296133960919213j
49.99999999999998         -30                      49.99999999999998        2.04678848624517-2.8143650838675276j
69.99999999999999         -30                      49.99999999999998        -0.06022897728970953-0.20447134338789497j
89.99999999999997         -30                      49.99999999999998        NaN
-89.99999999999997        -10                      49.99999999999998        NaN
-69.99999999999999        -10                      49.99999999999998        -0.13011876176431592-0.18681324737892413j
-49.99999999999998        -10                      49.99999999999998        -0.8399202183503442+1.7116456549202332j
-30                       -10                      49.99999999999998        -0.8416012458788587+1.5758875651039883j
