% Model:              microstrip_patch_antenna.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 31 2023, 16:50
% Dimension:          3
% Nodes:              1000000
% Expressions:        1
% Description:        Electric field, y component
% Length unit:        mm
% Theta           Phi              r
0.00000000        0.00000000       0.02854212
0.00000000        0.06346652       0.02725261
0.00000000        0.12693304       0.02684268
0.00000000        0.19039955       0.02734200
0.00000000        0.25386607       0.02867970
0.00000000        0.31733259       0.03071207
0.00000000        0.38079911       0.03326931
0.00000000        0.44426563       0.03619160
0.00000000        0.50773215       0.03934489
0.00000000        0.57119866       0.04262275
0.00000000        0.63466518       0.04594211
0.00000000        0.69813170       0.04923805
0.00000000        0.76159822       0.05245915
0.00000000        0.82506474       0.05556396
0.00000000        0.88853126       0.05851850
0.00000000        0.95199777       0.06129445
0.00000000        1.01546429       0.06386796
0.00000000        1.07893081       0.06621874
0.00000000        1.14239733       0.06832948
0.00000000        1.20586385       0.07018543
0.00000000        1.26933037       0.07177410
0.00000000        1.33279688       0.07308502
0.00000000        1.39626340       0.07410962
0.00000000        1.45972992       0.07484106
0.00000000        1.52319644       0.07527421
0.00000000        1.58666296       0.07540552
0.00000000        1.65012947       0.07523300
0.00000000        1.71359599       0.07475614
0.00000000        1.77706251       0.07397593
0.00000000        1.84052903       0.07289473
0.00000000        1.90399555       0.07151631
0.00000000        1.96746207       0.06984578
0.00000000        2.03092858       0.06788954
0.00000000        2.09439510       0.06565526
0.00000000        2.15786162       0.06315182
0.00000000        2.22132814       0.06038925
0.00000000        2.28479466       0.05737873
0.00000000        2.34826118       0.05413246
0.00000000        2.41172769       0.05066368
0.00000000        2.47519421       0.04698656
0.00000000        2.53866073       0.04267705
0.00000000        2.60212725       0.03756659
0.00000000        2.66559377       0.03265766
0.00000000        2.72906028       0.02792922
0.00000000        2.79252680       0.02335920
0.00000000        2.85599332       0.01892469
0.00000000        2.91945984       0.01460205
0.00000000        2.98292636       0.01036704
0.00000000        3.04639288       0.00619496
0.00000000        3.10985939       0.00206077
0.00000000        3.17332591       0.00206077
0.00000000        3.23679243       0.00619496
0.00000000        3.30025895       0.01036704
0.00000000        3.36372547       0.01460205
0.00000000        3.42719199       0.01892469
0.00000000        3.49065850       0.02335920
0.00000000        3.55412502       0.02792922
0.00000000        3.61759154       0.03265766
0.00000000        3.68105806       0.03756659
0.00000000        3.74452458       0.04267705
0.00000000        3.80799110       0.04698656
0.00000000        3.87145761       0.05066368
0.00000000        3.93492413       0.05413246
